date,close,Mkt-RF,SMB,HML,RMW,CMA
2015-05-20,30.09,-0.05,0.19,-0.13,-0.13,0.06
2015-05-21,30.55,0.23,-0.3,-0.02,0.07,-0.15
2015-05-22,32.05,-0.22,-0.13,-0.14,-0.13,-0.07
2015-05-26,31.9,-1.01,-0.03,-0.01,-0.12,0.16
2015-05-27,32.57,0.93,0.29,-0.35,-0.03,-0.32
2015-05-28,32.23,-0.12,0.1,0.13,-0.23,0.09
2015-05-29,32.43,-0.58,0.05,0.06,-0.27,-0.02
2015-06-01,31.92,0.17,-0.06,-0.22,0.22,-0.37
2015-06-02,32.3,-0.02,0.32,0.33,-0.2,0.17
2015-06-03,32.14,0.39,0.86,-0.24,-0.12,-0.04
2015-06-04,31.31,-0.88,-0.08,-0.01,0.19,-0.03
2015-06-05,32.27,0.06,0.83,0.05,-0.52,-0.38
2015-06-08,32.32,-0.66,0.06,0.03,0.05,0.05
2015-06-09,31.46,0.02,-0.29,0.35,0.13,0.1
2015-06-10,31.84,1.2,0.16,0.19,-0.02,0.02
2015-06-11,31.9,0.21,-0.09,-0.11,0.16,0.0
2015-06-12,31.79,-0.63,0.34,0.13,0.06,0.1
2015-06-15,31.88,-0.45,0.15,-0.13,-0.2,-0.25
2015-06-16,31.73,0.57,0.1,0.0,0.14,-0.07
2015-06-17,33.18,0.16,-0.31,-0.63,0.15,-0.09
2015-06-18,33.47,0.99,0.16,-0.43,-0.13,-0.16
2015-06-19,33.88,-0.43,0.52,-0.2,0.07,-0.05
2015-06-22,34.51,0.63,0.09,-0.06,-0.16,-0.24
2015-06-23,34.27,0.12,0.24,0.27,-0.08,0.0
2015-06-24,33.07,-0.79,-0.14,0.13,0.18,-0.01
2015-06-25,33.42,-0.25,0.33,-0.2,0.18,-0.08
2015-06-26,32.75,-0.06,-0.19,0.45,0.32,0.35
2015-06-29,33.35,-2.15,-0.41,0.18,0.31,0.1
2015-06-30,34.74,0.33,0.3,-0.67,-0.31,-0.63
2015-07-01,34.58,0.6,-0.75,-0.06,0.19,0.07
2015-07-02,34.87,-0.11,-0.61,-0.04,-0.07,0.0
