date,close,Mkt-RF,SMB,HML,RMW,CMA
2015-05-20,47.28,-0.05,0.19,-0.13,-0.13,0.06
2015-05-21,47.8,0.23,-0.3,-0.02,0.07,-0.15
2015-05-22,47.63,-0.22,-0.13,-0.14,-0.13,-0.07
2015-05-26,47.95,-1.01,-0.03,-0.01,-0.12,0.16
2015-05-27,49.45,0.93,0.29,-0.35,-0.03,-0.32
2015-05-28,49.11,-0.12,0.1,0.13,-0.23,0.09
2015-05-29,49.77,-0.58,0.05,0.06,-0.27,-0.02
2015-06-01,49.78,0.17,-0.06,-0.22,0.22,-0.37
2015-06-02,49.58,-0.02,0.32,0.33,-0.2,0.17
2015-06-03,49.55,0.39,0.86,-0.24,-0.12,-0.04
2015-06-04,48.9,-0.88,-0.08,-0.01,0.19,-0.03
2015-06-05,49.01,0.06,0.83,0.05,-0.52,-0.38
2015-06-08,48.8,-0.66,0.06,0.03,0.05,0.05
2015-06-09,49.24,0.02,-0.29,0.35,0.13,0.1
2015-06-10,49.69,1.2,0.16,0.19,-0.02,0.02
2015-06-11,49.87,0.21,-0.09,-0.11,0.16,0.0
2015-06-12,49.08,-0.63,0.34,0.13,0.06,0.1
2015-06-15,49.27,-0.45,0.15,-0.13,-0.2,-0.25
2015-06-16,49.71,0.57,0.1,0.0,0.14,-0.07
2015-06-17,50.17,0.16,-0.31,-0.63,0.15,-0.09
2015-06-18,50.5,0.99,0.16,-0.43,-0.13,-0.16
2015-06-19,50.24,-0.43,0.52,-0.2,0.07,-0.05
2015-06-22,50.22,0.63,0.09,-0.06,-0.16,-0.24
2015-06-23,50.47,0.12,0.24,0.27,-0.08,0.0
2015-06-24,49.71,-0.79,-0.14,0.13,0.18,-0.01
2015-06-25,55.38,-0.25,0.33,-0.2,0.18,-0.08
2015-06-26,48.62,-0.06,-0.19,0.45,0.32,0.35
2015-06-29,47.07,-2.15,-0.41,0.18,0.31,0.1
2015-06-30,48.22,0.33,0.3,-0.67,-0.31,-0.63
2015-07-01,48.43,0.6,-0.75,-0.06,0.19,0.07
2015-07-02,48.31,-0.11,-0.61,-0.04,-0.07,0.0
2015-07-06,48.4,-0.37,0.08,-0.55,-0.2,-0.22
2015-07-07,47.88,0.53,-0.49,-0.25,0.42,-0.02
2015-07-08,46.48,-1.68,-0.04,0.07,0.13,0.12
2015-07-09,46.57,0.29,0.18,-0.02,-0.29,-0.24
2015-07-10,46.96,1.24,0.18,-0.55,-0.2,-0.07
2015-07-13,47.04,1.14,-0.12,-0.42,0.1,-0.31
2015-07-14,47.46,0.47,0.11,0.13,-0.33,-0.36
2015-07-15,47.11,-0.19,-0.81,-0.08,-0.25,-0.3
2015-07-16,48.0,0.78,-0.25,-0.62,-0.25,-0.66
2015-07-17,47.8,0.05,-0.68,-0.64,-0.26,-0.93
2015-07-20,48.98,-0.01,-0.8,-0.58,0.34,-0.29
2015-07-21,49.12,-0.47,0.07,0.29,-0.22,-0.07
2015-07-22,50.02,-0.18,0.27,0.19,-0.35,0.11
