date,close
2016-07-12,0.165
2016-07-13,0.165
2016-07-14,0.165
2016-07-15,0.24
2016-07-18,0.237
2016-07-19,0.237
2016-07-20,0.2739
2016-07-21,0.269
2016-07-22,0.269
2016-07-25,0.293
2016-07-26,0.293
2016-07-27,0.293
2016-07-28,0.3207
2016-07-29,0.3
2016-08-01,0.3
2016-08-02,0.368
2016-08-03,0.387
2016-08-04,0.381
2016-08-05,0.3814
2016-08-08,0.347
2016-08-09,0.367
2016-08-10,0.367
2016-08-11,0.367
2016-08-12,0.367
2016-08-15,0.366
2016-08-16,0.344
2016-08-17,0.344
2016-08-18,0.3476
2016-08-19,0.3517
2016-08-22,0.3517
2016-08-23,0.3903
2016-08-24,0.3511
2016-08-25,0.3511
2016-08-26,0.33
2016-08-29,0.3478
2016-08-30,0.358
2016-08-31,0.3864
2016-09-01,0.3837
2016-09-02,0.3864
2016-09-06,0.388
2016-09-07,0.39
2016-09-08,0.375
2016-09-09,0.385
2016-09-12,0.41
2016-09-13,0.3901
2016-09-14,0.4566
2016-09-15,0.506
2016-09-16,0.6
2016-09-19,0.6
2016-09-20,0.5708
2016-09-21,0.586
2016-09-22,0.607
2016-09-23,0.6095
2016-09-26,0.619
2016-09-27,0.6
2016-09-28,0.6197
2016-09-29,0.5981
2016-09-30,0.6838
2016-10-03,0.7132
2016-10-04,0.748
2016-10-05,0.9067
2016-10-06,0.838
2016-10-07,0.8628
2016-10-10,0.84
2016-10-11,0.9535
2016-10-12,0.9473
2016-10-13,0.915
2016-10-14,0.9
2016-10-17,0.9118
2016-10-18,0.9627
2016-10-19,0.9424
2016-10-20,0.894
2016-10-21,0.8875
2016-10-24,0.909
2016-10-25,0.896
2016-10-26,0.899
2016-10-27,0.9239
2016-10-28,0.9062
2016-10-31,0.8968
2016-11-01,0.9
2016-11-02,0.876
2016-11-03,0.7974
2016-11-04,0.774
2016-11-07,0.848
2016-11-08,0.8531
2016-11-09,0.8464
2016-11-10,0.8478
2016-11-11,0.8469
2016-11-14,0.8395
2016-11-15,1.06
2016-11-16,1.01
2016-11-17,1.1
2016-11-18,1.35
2016-11-21,1.34
2016-11-22,1.06
2016-11-23,1.2
2016-11-25,1.12
2016-11-28,1.2
2016-11-29,1.2
2016-11-30,1.18
2016-12-01,1.25
2016-12-02,1.28
2016-12-05,1.2
2016-12-06,1.13
2016-12-07,1.15
2016-12-08,1.07
2016-12-09,1.09
2016-12-12,1.09
2016-12-13,1.18
2016-12-14,1.14
2016-12-15,1.15
2016-12-16,1.18
2016-12-19,1.09
2016-12-20,1.04
2016-12-21,1.07
2016-12-22,1.05
2016-12-23,1.01
2016-12-27,0.95
2016-12-28,1.07
2016-12-29,1.06
2016-12-30,1.1
2017-01-03,1.15
2017-01-04,1.19
2017-01-05,1.32
2017-01-06,1.33
2017-01-09,1.39
2017-01-10,1.39
2017-01-11,1.38
2017-01-12,1.37
2017-01-13,1.36
2017-01-17,1.39
2017-01-18,1.35
2017-01-19,1.38
2017-01-20,1.36
2017-01-23,1.38
2017-01-24,1.39
2017-01-25,1.44
2017-01-26,1.39
2017-01-27,1.39
2017-01-30,1.38
2017-01-31,1.34
2017-02-01,1.38
2017-02-02,1.39
2017-02-03,1.39
2017-02-06,1.38
2017-02-07,1.37
2017-02-08,1.48
2017-02-09,1.65
2017-02-10,1.61
2017-02-13,1.89
2017-02-14,1.95
2017-02-15,1.84
2017-02-16,1.98
2017-02-17,2.16
2017-02-21,2.42
2017-02-22,2.37
2017-02-23,2.14
2017-02-24,2.3
2017-02-27,2.32
2017-02-28,2.29
2017-03-01,2.4
2017-03-02,2.52
2017-03-03,2.52
2017-03-06,2.46
2017-03-07,2.16
2017-03-08,2.18
2017-03-09,2.15
2017-03-10,2.11
2017-03-13,2.06
2017-03-14,2.1
2017-03-15,2.07
2017-03-16,2.23
2017-03-17,2.14
2017-03-20,2.03
2017-03-21,1.96
2017-03-22,1.93
2017-03-23,1.95
2017-03-24,1.95
2017-03-27,2.19
2017-03-28,2.19
2017-03-29,2.15
2017-03-30,2.08
2017-03-31,2.09
2017-04-03,2.09
2017-04-04,2.09
2017-04-05,2.24
2017-04-06,2.26
2017-04-07,2.35
2017-04-10,2.57
2017-04-11,2.36
2017-04-12,2.47
2017-04-13,2.34
2017-04-17,2.24
2017-04-18,2.15
2017-04-19,2.31
2017-04-20,2.22
2017-04-21,2.18
2017-04-24,2.13
2017-04-25,2.03
2017-04-26,1.94
2017-04-27,1.88
2017-04-28,1.97
2017-05-01,2.04
2017-05-02,1.96
2017-05-03,1.93
2017-05-04,1.86
2017-05-05,1.8
2017-05-08,1.79
2017-05-09,1.74
2017-05-10,1.66
2017-05-11,1.79
2017-05-12,1.71
2017-05-15,1.72
2017-05-16,1.73
2017-05-17,1.67
2017-05-18,1.66
2017-05-19,1.66
2017-05-22,1.66
2017-05-23,1.77
2017-05-24,1.75
2017-05-25,1.7
2017-05-26,1.73
2017-05-30,1.75
2017-05-31,1.72
2017-06-01,1.66
2017-06-02,1.58
2017-06-05,1.43
2017-06-06,1.27
2017-06-07,1.28
2017-06-08,1.31
2017-06-09,1.32
2017-06-12,1.34
2017-06-13,1.32
2017-06-14,1.31
2017-06-15,1.28
2017-06-16,1.29
2017-06-19,1.31
2017-06-20,1.26
2017-06-21,1.25
2017-06-22,1.34
2017-06-23,1.3
2017-06-26,1.32
2017-06-27,1.34
2017-06-28,1.34
2017-06-29,1.35
2017-06-30,1.33
2017-07-03,1.33
2017-07-05,1.41
2017-07-06,1.38
2017-07-07,1.39
2017-07-10,1.4
2017-07-11,1.42
2017-07-12,1.69
2017-07-13,1.6
2017-07-14,1.74
2017-07-17,1.86
2017-07-18,1.85
2017-07-19,1.82
2017-07-20,1.74
2017-07-21,1.75
2017-07-24,1.81
2017-07-25,1.81
2017-07-26,1.86
2017-07-27,1.79
2017-07-28,1.8
2017-07-31,1.8
2017-08-01,1.76
2017-08-02,1.72
2017-08-03,1.68
2017-08-04,1.69
2017-08-07,1.77
2017-08-08,1.72
2017-08-09,1.71
2017-08-10,1.69
2017-08-11,1.64
2017-08-14,1.6
2017-08-15,1.62
2017-08-16,1.81
2017-08-17,1.77
2017-08-18,1.81
2017-08-21,1.85
2017-08-22,1.92
2017-08-23,1.94
2017-08-24,1.86
2017-08-25,1.83
2017-08-28,1.86
2017-08-29,1.86
2017-08-30,1.86
2017-08-31,1.87
2017-09-01,1.9
2017-09-05,1.88
2017-09-06,1.86
2017-09-07,1.86
2017-09-08,1.85
2017-09-11,1.83
2017-09-12,1.9
2017-09-13,1.9
2017-09-14,1.95
2017-09-15,2.0
2017-09-18,2.15
2017-09-19,2.19
2017-09-20,2.15
2017-09-21,2.13
2017-09-22,2.12
2017-09-25,2.05
2017-09-26,2.09
2017-09-27,2.08
2017-09-28,2.13
2017-09-29,2.1
2017-10-02,2.13
2017-10-03,2.2
2017-10-04,2.26
2017-10-05,2.4
2017-10-06,2.37
2017-10-09,2.48
2017-10-10,2.35
2017-10-11,2.45
2017-10-12,2.54
2017-10-13,2.6
2017-10-16,2.78
2017-10-17,2.66
2017-10-18,2.73
2017-10-19,2.44
2017-10-20,2.5
2017-10-23,2.52
2017-10-24,2.49
2017-10-25,2.44
2017-10-26,2.47
2017-10-27,2.45
2017-10-30,2.54
2017-10-31,2.53
2017-11-01,2.51
2017-11-02,2.46
2017-11-03,2.49
2017-11-06,2.62
2017-11-07,2.61
2017-11-08,2.57
2017-11-09,2.53
2017-11-10,2.7
2017-11-13,3.03
2017-11-14,3.35
2017-11-15,3.28
2017-11-16,3.0
2017-11-17,3.08
2017-11-20,3.21
2017-11-21,3.15
2017-11-22,3.2
2017-11-24,3.23
2017-11-27,3.48
2017-11-28,3.56
2017-11-29,3.13
2017-11-30,3.31
2017-12-01,3.31
2017-12-04,3.25
2017-12-05,3.29
2017-12-06,3.32
2017-12-07,3.41
2017-12-08,3.49
2017-12-11,3.6
2017-12-12,3.92
2017-12-13,3.86
2017-12-14,3.72
2017-12-15,3.75
2017-12-18,4.01
2017-12-19,4.15
2017-12-20,4.08
2017-12-21,4.3
2017-12-22,4.53
2017-12-26,5.23
2017-12-27,5.54
2017-12-28,7.0
2017-12-29,7.73
2018-01-02,8.06
2018-01-03,8.6
2018-01-04,7.75
2018-01-05,8.48
2018-01-08,10.95
2018-01-09,10.97
2018-01-10,10.65
2018-01-11,8.89
2018-01-12,7.18
2018-01-16,8.25
2018-01-17,8.37
2018-01-18,8.1
2018-01-19,7.96
2018-01-22,8.92
2018-01-23,9.31
2018-01-24,8.8
2018-01-25,8.2
2018-01-26,8.18
2018-01-29,7.54
2018-01-30,6.82
2018-01-31,7.35
2018-02-01,6.5
2018-02-02,5.51
2018-02-05,5.92
2018-02-06,7.52
2018-02-07,7.23
2018-02-08,7.54
2018-02-09,7.34
2018-02-12,7.37
2018-02-13,7.44
2018-02-14,7.99
2018-02-15,7.68
2018-02-16,7.22
2018-02-20,7.41
2018-02-21,7.18
2018-02-22,7.2
2018-02-23,7.01
2018-02-26,7.76
2018-02-27,7.62
2018-02-28,9.17
2018-03-01,9.69
2018-03-02,9.4
2018-03-05,9.77
2018-03-06,9.91
2018-03-07,9.81
2018-03-08,9.54
2018-03-09,9.32
2018-03-12,8.75
2018-03-13,8.63
2018-03-14,8.4
2018-03-15,8.13
2018-03-16,7.82
2018-03-19,8.75
2018-03-20,8.19
2018-03-21,8.0
2018-03-22,7.39
2018-03-23,7.47
2018-03-26,7.46
2018-03-27,7.03
2018-03-28,6.51
2018-03-29,6.73
2018-04-02,6.25
2018-04-03,5.6
2018-04-04,5.6
2018-04-05,5.9
2018-04-06,5.63
2018-04-09,5.57
2018-04-10,6.37
2018-04-11,6.36
2018-04-12,6.68
2018-04-13,7.12
2018-04-16,7.73
2018-04-17,7.44
2018-04-18,7.33
2018-04-19,7.41
2018-04-20,7.37
2018-04-23,7.02
2018-04-24,7.0
2018-04-25,6.88
2018-04-26,6.92
2018-04-27,6.8
2018-04-30,6.91
2018-05-01,6.22
2018-05-02,5.81
2018-05-03,5.87
2018-05-04,5.88
2018-05-07,5.67
2018-05-08,5.54
2018-05-09,5.52
2018-05-10,5.6
2018-05-11,6.12
2018-05-14,6.56
2018-05-15,6.27
2018-05-16,6.04
2018-05-17,5.8
2018-05-18,6.23
2018-05-21,6.57
2018-05-22,6.24
2018-05-23,6.21
2018-05-24,6.13
2018-05-25,6.01
2018-05-29,6.02
2018-05-30,6.38
2018-05-31,6.24
2018-06-01,6.84
2018-06-04,7.0
2018-06-05,6.99
2018-06-06,7.93
2018-06-07,7.66
2018-06-08,7.23
2018-06-11,6.96
2018-06-12,6.77
2018-06-13,7.12
2018-06-14,6.93
2018-06-15,7.02
2018-06-18,6.78
2018-06-19,6.86
2018-06-20,7.22
2018-06-21,7.67
2018-06-22,7.24
2018-06-25,6.9
2018-06-26,6.79
2018-06-27,6.18
2018-06-28,6.42
2018-06-29,6.52
2018-07-02,6.96
2018-07-03,6.78
2018-07-05,6.97
2018-07-06,6.96
2018-07-09,6.95
2018-07-10,6.98
2018-07-11,6.97
2018-07-12,7.05
2018-07-13,7.06
2018-07-16,6.73
2018-07-17,6.92
2018-07-18,6.78
2018-07-19,6.83
2018-07-20,6.54
2018-07-23,6.46
2018-07-24,6.27
2018-07-25,6.29
2018-07-26,6.14
2018-07-27,6.23
2018-07-30,5.92
2018-07-31,6.05
2018-08-01,5.78
2018-08-02,6.02
2018-08-03,5.86
2018-08-06,5.88
2018-08-07,5.72
2018-08-08,5.77
2018-08-09,6.1
2018-08-10,5.96
2018-08-13,5.83
2018-08-14,5.65
2018-08-15,6.38
2018-08-16,6.32
2018-08-17,6.54
2018-08-20,7.32
2018-08-21,8.29
2018-08-22,8.16
2018-08-23,8.54
2018-08-24,9.94
2018-08-27,12.04
2018-08-28,11.08
2018-08-29,12.74
2018-08-30,9.12
2018-08-31,9.88
