Date,Mkt-RF,SMB,HML,RMW,CMA
2015-10-20,-0.15,0.17,1.21,0.48,0.27
2015-10-21,-0.74,-0.88,-0.18,0.46,0.23
2015-10-22,1.5,-0.76,0.47,0.06,0.56
2015-10-23,1.09,-0.09,-0.59,0.19,-0.84
2015-10-26,-0.2,-0.46,-0.72,0.2,-0.17
2015-10-27,-0.42,-1.06,-0.88,-0.42,-0.5
2015-10-28,1.43,1.5,0.64,-0.68,-0.24
2015-10-29,-0.2,-0.89,0.1,0.41,-0.2
2015-10-30,-0.41,0.21,-0.55,0.35,0.08
2015-11-02,1.25,0.9,-0.02,-0.49,-0.05
2015-11-03,0.32,0.47,0.22,0.03,-0.09
2015-11-04,-0.26,0.18,-0.33,-0.61,-0.68
2015-11-05,-0.08,0.04,0.46,0.04,0.14
2015-11-06,0.14,0.85,0.28,-0.54,-0.2
2015-11-09,-0.95,-0.26,-0.04,-0.65,-0.01
2015-11-10,0.13,0.01,0.27,-0.11,0.21
2015-11-11,-0.43,-0.57,-0.18,-0.13,0.06
2015-11-12,-1.45,-0.56,-0.45,0.17,-0.28
2015-11-13,-1.06,0.32,0.39,-0.61,0.42
2015-11-16,1.39,-0.53,0.45,0.18,-0.15
2015-11-17,-0.11,-0.24,-0.66,0.02,-0.17
2015-11-18,1.61,-0.02,-0.09,-0.09,-0.4
2015-11-19,-0.13,-0.28,-0.11,0.16,0.14
2015-11-20,0.35,0.4,-0.42,0.29,0.01
2015-11-23,-0.01,0.61,-0.35,0.12,-0.17
2015-11-24,0.21,0.75,0.26,0.24,0.1
2015-11-25,0.09,0.84,-0.55,-0.08,-0.1
2015-11-27,0.09,0.19,-0.29,-0.18,0.07
2015-11-30,-0.47,0.2,0.69,-0.24,0.09
2015-12-01,0.97,-0.64,0.24,-0.09,-0.14
2015-12-02,-1.01,0.19,-0.7,0.02,-0.15
2015-12-03,-1.5,-0.2,0.43,0.33,0.17
2015-12-04,1.86,-1.06,-0.52,0.12,-0.33
2015-12-07,-0.84,-0.87,-0.66,0.68,0.18
2015-12-08,-0.59,0.27,-1.23,-0.15,-0.77
2015-12-09,-0.83,-0.21,0.42,0.47,0.63
2015-12-10,0.3,0.08,-0.22,0.11,-0.16
2015-12-11,-2.03,-0.2,-0.06,0.18,0.34
2015-12-14,0.29,-1.12,-0.19,0.14,-0.33
2015-12-15,1.1,0.2,0.77,-0.83,0.13
2015-12-16,1.47,0.01,-0.64,-0.11,-0.17
2015-12-17,-1.46,0.31,-0.31,-0.23,-0.06
2015-12-18,-1.7,0.7,-0.39,-0.29,0.19
2015-12-21,0.74,-0.18,-0.06,-0.14,0.04
2015-12-22,0.89,0.02,0.51,0.2,0.5
2015-12-23,1.3,0.23,0.58,-0.01,0.14
2015-12-24,-0.11,0.27,-0.03,-0.21,0.08
2015-12-28,-0.29,-0.54,-0.38,0.08,-0.07
2015-12-29,1.05,0.03,-0.31,0.03,-0.33
2015-12-30,-0.74,-0.17,-0.13,0.04,0.15
2015-12-31,-0.92,-0.21,0.25,-0.12,0.1
2016-01-04,-1.59,-0.73,0.53,0.35,0.42
2016-01-05,0.12,-0.25,0.01,0.03,0.35
2016-01-06,-1.35,-0.21,-0.01,0.15,0.04
2016-01-07,-2.44,-0.27,0.08,0.48,0.43
2016-01-08,-1.11,-0.52,-0.03,0.21,0.04
2016-01-11,-0.06,-0.62,0.34,0.65,0.43
2016-01-12,0.71,-0.45,-0.78,-0.03,-0.31
2016-01-13,-2.67,-0.56,0.78,0.37,0.68
2016-01-14,1.65,-0.08,-0.4,-0.62,-0.47
2016-01-15,-2.14,0.41,-0.21,0.32,0.33
2016-01-19,-0.2,-1.38,-0.07,0.3,0.26
2016-01-20,-0.94,1.68,-1.24,0.18,-0.55
2016-01-21,0.45,-0.46,0.01,0.47,0.6
2016-01-22,2.08,0.13,-0.19,-0.46,-0.76
2016-01-25,-1.71,-0.51,-0.99,0.3,-0.01
2016-01-26,1.52,0.58,1.22,0.58,0.72
2016-01-27,-1.11,-0.37,1.71,-0.24,1.06
2016-01-28,0.49,-0.58,1.26,-0.25,-0.5
2016-01-29,2.57,0.58,0.37,0.0,0.45
2016-02-01,-0.04,-0.32,-0.95,0.08,-0.41
2016-02-02,-2.0,-0.13,-0.35,0.29,0.4
2016-02-03,0.46,-0.21,0.45,0.42,0.37
2016-02-04,0.27,0.37,0.33,0.2,0.1
2016-02-05,-2.06,-0.72,1.75,1.07,1.44
2016-02-08,-1.51,0.11,0.89,1.63,0.97
2016-02-09,-0.1,-0.56,-0.28,-0.06,0.03
2016-02-10,0.01,-0.22,-0.55,-0.28,-0.79
2016-02-11,-1.17,0.28,-1.48,0.32,-0.4
2016-02-12,1.98,-0.28,1.14,-0.39,0.3
2016-02-16,1.78,0.54,-0.56,0.03,-0.27
2016-02-17,1.75,-0.15,-0.64,-0.38,-0.48
2016-02-18,-0.51,-0.01,0.21,0.34,0.53
2016-02-19,0.06,0.29,-0.62,-0.64,-0.41
2016-02-22,1.43,-0.18,0.24,0.25,-0.21
2016-02-23,-1.22,0.38,-0.52,0.77,0.5
2016-02-24,0.53,0.64,-0.33,0.01,0.11
2016-02-25,1.1,-0.45,0.22,-0.1,-0.25
2016-02-26,-0.01,0.87,0.26,-0.53,0.02
2016-02-29,-0.69,0.7,0.26,0.13,0.43
2016-03-01,2.34,-0.64,0.3,-0.5,-0.54
2016-03-02,0.54,0.59,0.7,-0.7,-0.08
2016-03-03,0.51,0.56,0.65,0.31,0.4
2016-03-04,0.37,0.33,0.29,0.1,0.03
2016-03-07,0.21,1.32,0.55,-0.39,0.44
2016-03-08,-1.27,-1.26,-0.49,0.62,0.14
2016-03-09,0.5,0.11,0.38,0.18,0.11
2016-03-10,-0.11,-0.74,0.63,0.31,0.18
2016-03-11,1.69,0.29,0.19,-0.4,-0.32
2016-03-14,-0.12,-0.14,-0.87,0.01,-0.23
2016-03-15,-0.36,-1.42,0.67,0.46,0.07
2016-03-16,0.63,0.11,-0.04,0.56,-0.04
2016-03-17,0.72,0.97,0.59,0.15,0.67
2016-03-18,0.54,0.41,-0.19,-0.26,0.19
2016-03-21,0.1,-0.27,-0.31,-0.08,-0.35
2016-03-22,-0.05,-0.08,-0.44,-0.3,-0.26
2016-03-23,-0.86,-1.2,-0.09,0.61,0.01
2016-03-24,0.0,0.42,-0.05,0.05,-0.01
2016-03-28,0.04,-0.04,0.14,-0.04,0.25
2016-03-29,1.07,1.64,-1.18,0.19,-0.57
2016-03-30,0.41,-0.27,0.15,-0.06,0.01
2016-03-31,-0.11,0.41,-0.48,-0.12,-0.11
2016-04-01,0.64,-0.34,-0.62,-0.36,-0.14
2016-04-04,-0.41,-0.33,-0.74,-0.25,-0.23
2016-04-05,-0.94,-0.18,-0.36,0.06,0.18
2016-04-06,1.14,0.05,-0.82,-0.47,-0.63
2016-04-07,-1.23,-0.09,-0.35,-0.01,0.22
2016-04-08,0.29,0.12,0.69,0.36,0.28
2016-04-11,-0.28,0.01,0.95,-0.01,0.29
2016-04-12,0.99,0.01,0.85,0.04,-0.15
2016-04-13,1.23,0.95,0.35,-0.46,-0.35
2016-04-14,0.03,-0.26,0.18,-0.36,-0.11
2016-04-15,-0.04,0.31,-0.32,0.22,0.17
2016-04-18,0.65,0.13,-0.19,-0.16,-0.04
2016-04-19,0.29,-0.17,1.49,-0.24,0.37
2016-04-20,0.15,-0.01,0.53,-0.31,-0.12
2016-04-21,-0.47,-0.01,-0.59,-0.61,-0.34
2016-04-22,0.12,1.03,0.49,-0.09,0.96
2016-04-25,-0.24,-0.65,-0.18,0.07,-0.16
2016-04-26,0.29,0.82,0.78,0.33,0.61
2016-04-27,0.21,0.23,0.68,-0.19,0.79
2016-04-28,-0.96,-0.2,0.05,-0.48,0.56
2016-04-29,-0.5,-0.2,0.38,0.06,-0.24
2016-05-02,0.78,-0.04,-0.36,0.0,-0.09
2016-05-03,-1.05,-0.73,-0.5,0.54,0.03
2016-05-04,-0.66,-0.16,0.06,0.45,0.29
2016-05-05,-0.08,-0.53,0.09,0.1,0.02
2016-05-06,0.38,0.08,0.24,0.17,0.25
2016-05-09,0.05,0.19,-1.49,0.1,-0.5
2016-05-10,1.26,-0.38,0.47,-0.11,0.05
2016-05-11,-0.89,-0.33,0.78,-0.44,0.0
2016-05-12,-0.11,-0.59,0.14,0.38,0.12
2016-05-13,-0.82,0.28,-0.66,-0.55,-0.17
2016-05-16,0.99,0.2,-0.24,-0.05,-0.31
2016-05-17,-0.95,-0.68,0.61,-0.12,-0.1
2016-05-18,0.1,0.14,0.83,-1.34,-0.65
2016-05-19,-0.33,-0.31,-0.3,0.39,-0.01
2016-05-20,0.75,0.84,-0.3,-0.39,-0.38
2016-05-23,-0.18,0.24,-0.32,-0.21,0.08
2016-05-24,1.43,0.61,-0.34,-0.1,-0.39
2016-05-25,0.72,-0.13,0.57,0.21,-0.1
2016-05-26,-0.04,-0.16,-0.51,0.17,-0.22
2016-05-27,0.49,0.36,-0.22,-0.06,-0.09
2016-05-31,-0.01,0.45,-0.36,-0.17,-0.33
2016-06-01,0.2,0.64,-0.25,-0.26,0.08
2016-06-02,0.35,0.25,-0.59,-0.24,-0.08
2016-06-03,-0.38,-0.18,-0.1,0.53,0.14
2016-06-06,0.6,0.71,0.32,-0.19,-0.11
2016-06-07,0.12,0.23,0.11,0.34,0.22
2016-06-08,0.37,0.43,-0.11,0.05,-0.1
2016-06-09,-0.27,-0.43,-0.21,0.31,0.13
2016-06-10,-1.05,-0.38,-0.17,0.16,0.6
2016-06-13,-0.84,-0.37,0.1,-0.24,-0.04
2016-06-14,-0.19,0.14,-0.71,0.27,0.03
2016-06-15,-0.11,0.26,-0.06,-0.05,0.05
2016-06-16,0.24,-0.31,-0.4,0.28,0.35
2016-06-17,-0.3,0.07,0.94,0.4,0.62
2016-06-20,0.71,0.59,-0.01,-0.16,0.12
2016-06-21,0.21,-0.61,0.5,-0.2,0.0
2016-06-22,-0.2,-0.3,0.08,0.05,0.0
2016-06-23,1.45,0.54,0.43,-0.55,-0.2
2016-06-24,-3.7,0.02,-1.13,0.93,0.1
2016-06-27,-2.07,-1.06,-0.67,0.52,0.43
2016-06-28,1.76,-0.38,0.14,-0.61,-0.59
2016-06-29,1.8,0.31,-0.07,-0.11,-0.24
2016-06-30,1.42,0.38,0.45,-0.13,0.38
2016-07-01,0.24,0.47,-0.41,-0.13,0.23
2016-07-05,-0.85,-0.82,-1.36,0.57,-0.68
2016-07-06,0.62,0.17,-0.13,-0.11,-0.15
2016-07-07,0.02,0.34,-0.2,0.21,-0.29
2016-07-08,1.6,0.94,0.35,0.07,0.27
2016-07-11,0.43,0.69,0.25,0.3,-0.08
2016-07-12,0.75,0.73,1.0,-0.63,0.64
2016-07-13,-0.05,-0.46,0.51,0.54,0.0
2016-07-14,0.51,-0.42,0.45,-0.04,0.0
2016-07-15,-0.05,0.29,0.01,-0.3,0.0
2016-07-18,0.25,0.01,-0.12,0.09,-0.23
2016-07-19,-0.22,-0.62,0.05,0.47,-0.23
2016-07-20,0.48,0.39,-0.87,-0.03,-0.35
2016-07-21,-0.38,-0.08,-0.01,0.0,0.03
2016-07-22,0.48,0.28,-0.08,0.41,-0.25
2016-07-25,-0.27,-0.01,-0.24,0.51,-0.39
2016-07-26,0.13,0.61,0.54,-0.44,0.73
2016-07-27,-0.14,0.52,-0.42,-0.12,-0.56
2016-07-28,0.18,-0.45,-0.34,-0.06,-0.14
2016-07-29,0.17,-0.03,0.04,0.0,0.32
2016-08-01,-0.16,0.07,-0.87,0.69,-0.73
2016-08-02,-0.7,-0.63,0.17,-0.54,0.15
2016-08-03,0.45,0.57,0.83,-0.71,0.15
2016-08-04,0.05,0.07,-0.33,0.14,0.07
2016-08-05,0.93,0.56,0.87,-0.5,-0.36
2016-08-08,-0.06,0.1,0.57,0.0,0.43
2016-08-09,0.05,-0.05,-0.31,-0.13,-0.21
2016-08-10,-0.29,-0.45,-0.13,0.71,0.01
2016-08-11,0.54,0.15,0.04,-0.3,0.16
2016-08-12,-0.06,0.12,-0.18,-0.19,-0.28
2016-08-15,0.39,0.79,0.39,-0.27,0.35
2016-08-16,-0.57,-0.19,0.61,-0.1,0.3
2016-08-17,0.12,-0.49,0.25,0.08,0.07
2016-08-18,0.32,0.47,0.37,-0.54,0.33
2016-08-19,-0.11,0.1,-0.12,0.29,-0.15
2016-08-22,-0.02,0.22,-0.41,0.02,-0.36
2016-08-23,0.27,0.55,-0.01,0.03,0.06
2016-08-24,-0.56,-0.44,0.4,0.38,-0.07
2016-08-25,-0.08,0.22,0.48,-0.18,0.29
2016-08-26,-0.15,0.12,-0.13,-0.36,-0.19
2016-08-29,0.53,0.01,0.35,-0.1,0.21
2016-08-30,-0.14,0.21,0.31,-0.05,-0.3
2016-08-31,-0.24,-0.34,0.13,0.27,-0.35
2016-09-01,0.03,0.06,-0.49,0.15,-0.13
2016-09-02,0.53,0.42,0.36,-0.16,0.19
2016-09-06,0.26,0.0,-0.53,-0.71,-0.03
2016-09-07,0.09,0.6,0.03,-0.1,-0.24
2016-09-08,-0.18,0.03,0.57,-0.9,0.41
2016-09-09,-2.47,-0.55,0.31,0.08,-0.43
2016-09-12,1.44,-0.04,-0.47,-0.07,-0.19
2016-09-13,-1.48,-0.32,-0.47,0.63,-0.76
