date,close,Mkt-RF,SMB,HML,RMW,CMA
2015-05-20,19.29,-0.05,0.19,-0.13,-0.13,0.06
2015-05-21,19.31,0.23,-0.3,-0.02,0.07,-0.15
2015-05-22,19.88,-0.22,-0.13,-0.14,-0.13,-0.07
2015-05-26,19.39,-1.01,-0.03,-0.01,-0.12,0.16
2015-05-27,19.61,0.93,0.29,-0.35,-0.03,-0.32
2015-05-28,19.28,-0.12,0.1,0.13,-0.23,0.09
2015-05-29,19.85,-0.58,0.05,0.06,-0.27,-0.02
2015-06-01,21.12,0.17,-0.06,-0.22,0.22,-0.37
2015-06-02,21.09,-0.02,0.32,0.33,-0.2,0.17
2015-06-03,21.38,0.39,0.86,-0.24,-0.12,-0.04
2015-06-04,21.5,-0.88,-0.08,-0.01,0.19,-0.03
2015-06-05,22.08,0.06,0.83,0.05,-0.52,-0.38
2015-06-08,22.34,-0.66,0.06,0.03,0.05,0.05
2015-06-09,22.18,0.02,-0.29,0.35,0.13,0.1
2015-06-10,22.28,1.2,0.16,0.19,-0.02,0.02
2015-06-11,22.42,0.21,-0.09,-0.11,0.16,0.0
2015-06-12,22.08,-0.63,0.34,0.13,0.06,0.1
2015-06-15,22.71,-0.45,0.15,-0.13,-0.2,-0.25
2015-06-16,22.63,0.57,0.1,0.0,0.14,-0.07
2015-06-17,22.88,0.16,-0.31,-0.63,0.15,-0.09
2015-06-18,24.42,0.99,0.16,-0.43,-0.13,-0.16
2015-06-19,23.78,-0.43,0.52,-0.2,0.07,-0.05
2015-06-22,24.28,0.63,0.09,-0.06,-0.16,-0.24
2015-06-23,24.49,0.12,0.24,0.27,-0.08,0.0
2015-06-24,23.52,-0.79,-0.14,0.13,0.18,-0.01
2015-06-25,22.98,-0.25,0.33,-0.2,0.18,-0.08
2015-06-26,23.61,-0.06,-0.19,0.45,0.32,0.35
2015-06-29,22.58,-2.15,-0.41,0.18,0.31,0.1
2015-06-30,22.81,0.33,0.3,-0.67,-0.31,-0.63
2015-07-01,22.43,0.6,-0.75,-0.06,0.19,0.07
2015-07-02,21.27,-0.11,-0.61,-0.04,-0.07,0.0
2015-07-06,21.74,-0.37,0.08,-0.55,-0.2,-0.22
2015-07-07,21.61,0.53,-0.49,-0.25,0.42,-0.02
